# wavelength [micron], EQE [1]
1.882765531062124520e+00,2.057155410121915023e-16
1.887174348697395088e+00,1.170338699614053448e-19
1.891583166332665655e+00,-5.137795578222745479e-17
1.895991983967936223e+00,-1.027925885131866603e-16
1.900400801603206569e+00,4.182956281638547959e-20
1.904809619238477136e+00,-8.110126254465433804e-20
1.909218436873747704e+00,-0.000000000000000000e+00
1.913627254509018272e+00,-1.028634159737394297e-16
1.918036072144288839e+00,5.137494478773881155e-17
1.922444889779559407e+00,1.027310601973359850e-16
1.926853707414829975e+00,7.693060169643523505e-17
1.931262525050100543e+00,1.026614016522697405e-16
1.935671342685371110e+00,1.291394849359914305e-17
1.940080160320641456e+00,5.141999853798552674e-17
1.944488977955912024e+00,-7.702139485024491372e-17
1.948897795591182591e+00,-1.041816050097050541e-19
1.953306613226453159e+00,-1.154476301720904159e-16
1.957715430861723727e+00,-0.000000000000000000e+00
1.962124248496994294e+00,2.559453486351734776e-17
1.966533066132264862e+00,-1.153725413230599831e-16
1.970941883767535430e+00,3.842619154600167491e-17
1.975350701402805775e+00,1.537238844532022732e-16
1.979759519038076343e+00,-1.313905351708139757e-20
1.984168336673346911e+00,-2.529712103377773364e-20
1.988577154308617478e+00,-5.123753903813623526e-17
1.992985971943888046e+00,-3.838427766845338329e-17
1.997394789579158614e+00,1.279552272685108963e-17
2.001803607214429181e+00,7.669635542629223341e-17
2.006212424849699527e+00,3.837603433384192159e-17
2.010621242484970317e+00,-5.120151445816893073e-17
2.015030060120240663e+00,-2.982019810851932980e-20
2.019438877755511008e+00,-0.000000000000000000e+00
2.023847695390781798e+00,-1.278830292302281147e-16
2.028256513026052144e+00,-2.560855491865800661e-17
2.032665330661322933e+00,-3.838674742824306116e-17
2.037074148296593279e+00,3.833330315721449268e-17
2.041482965931864069e+00,1.277935727901835590e-17
2.045891783567134414e+00,1.275954141342773216e-17
2.050300601202404760e+00,-3.830894336876212378e-17
2.054709418837675550e+00,-1.914280154329316216e-17
2.059118236472945895e+00,-5.106138734881870949e-17
2.063527054108216685e+00,-3.193765330904096405e-17
2.067935871743487031e+00,6.400666515837432249e-18
2.072344689378757820e+00,-1.642971197090055441e-20
2.076753507014028166e+00,-5.102265563479303403e-17
2.081162324649298956e+00,1.276582074072566333e-17
2.085571142284569301e+00,2.550121692085624828e-17
2.089979959919839647e+00,1.076648366421126729e-20
2.094388777555110437e+00,6.391622982709592880e-18
2.098797595190380783e+00,-6.370243047411449451e-18
2.103206412825651572e+00,1.274813687997486838e-17
2.107615230460921918e+00,-5.099765603944795187e-17
2.112024048096192708e+00,-5.098437080628109300e-17
2.116432865731463053e+00,-1.910743961908882009e-17
2.120841683366733843e+00,-1.019171440420427748e-16
2.125250501002004189e+00,6.360303313666622807e-18
2.129659318637274534e+00,-2.017891814587611951e-21
2.134068136272545324e+00,3.819940876876453446e-17
2.138476953907815670e+00,7.638160214515492343e-17
2.142885771543086459e+00,-8.894857241215885514e-22
2.147294589178356805e+00,-0.000000000000000000e+00
2.151703406813627595e+00,-2.543786776431931148e-17
2.156112224448897940e+00,1.908014069344837556e-17
2.160521042084168730e+00,-3.178342328465378878e-17
2.164929859719439076e+00,-2.542457623629532050e-17
2.169338677354709422e+00,-6.355511108863073612e-18
2.173747494989980211e+00,2.543017640276695117e-17
2.178156312625250557e+00,2.541756277540670021e-17
2.182565130260521347e+00,-3.175686809104826524e-17
2.186973947895791692e+00,-1.270824640445864097e-17
2.191382765531062482e+00,-3.174160741849678876e-17
2.195791583166332828e+00,6.342440600179546887e-18
2.200200400801603173e+00,3.807731088701042257e-17
2.204609218436873963e+00,-1.269670785545181050e-17
2.209018036072144309e+00,2.536568338264582709e-17
